1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Identifier,Key_Value_Driver,KVDName,Client,Country,Product,Channel,Parent_Category,Child_Category,Metrics,MonthCY,MonthLY,MTDCYplan,MTDDifferenceActuals,MTDDev%Actuals,Deviation metrics,3 mnths Avg CY,3 mnths Avg LY,Dev %,YTD 2015,YTD 2014,PlanYTD2015,DifferenceYTDActuals,YTDDev %Actuals,MTDDifferenceplan,MTDDev%plan,YTDDifferencePlan,YTDDev%plan,month,month-1,month-2,month-3,month-4,month-5,month-6,month-7,month-8,month-9,month-10,month-11,month-12,month-13,month-14,month-15,month-16,month-17,month-18,month-19,month-20,month-21,month-22,month-23,month-24,,,
Fortuna#MobileAcitvePlayerDays#CZ#NA#Online,Mobile Acitve Player Days,MobileAcitvePlayerDays,Fortuna,CZ,NA,Online,,,#,167964,120842,N/A,47122,39.00%,Positive,142570.67,115037.67,23.90%,1454755,1072526,N/A,382229,35.60%,N/A,N/A,N/A,N/A,167964,143577,116171,128809,215319,173395,190790,159140,159590,147268,150094,153553,120842,109726,114545,138101,126219,121739,122525,112966,105863,464006,460817,390206,338154,,,
Fortuna#OnlineMobileBet/APD#CZ#NA#Online,Online Mobile Bet/APD,OnlineMobileBet/APD,Fortuna,CZ,NA,Online,,,CZ K,763.06,520.18,N/A,242.88,46.70%,Positive,861.28,565.63,52.30%,671.94,472.81,N/A,199.14,42.10%,N/A,N/A,N/A,N/A,763.06,970.05,850.72,831.66,600.55,598.8,539.35,549.47,555.32,510.11,494.01,519.05,520.18,555.06,621.67,495.83,495.33,482.65,409.68,358.31,375.41,0,0,0,0,,,
Fortuna#NetGrossWinPerUniqueActivePlayer#CZ#NA#Online,Net Gross Win Per Unique Active Player,NetGrossWinPerUniqueActivePlayer,Fortuna,CZ,NA,Online,,,CZ K,1545.52,1323.74,N/A,221.78,16.80%,Positive,1676.18,1419.11,18.10%,1379.71,1180.24,N/A,199.47,16.90%,N/A,N/A,N/A,N/A,1545.52,1785.2,1697.82,1400.95,1247.62,1192.23,1316.82,1360.74,1546.54,1366.74,1403.17,1373.06,1323.74,1686.03,1247.56,1253.54,1384.76,927.16,1230.73,994.44,1247.89,1287.1,1344.24,1448.05,1410.22,,,
Fortuna#StakeAmountPerActivePlayerDays#CZ#NA#Online,Stake Amount Per Active Player Days,StakeAmountPerActivePlayerDays,Fortuna,CZ,NA,Online,Online Customer Model,Online Customer Model,CZ K,1885.69,1681.11,N/A,204.57,12.20%,Positive,2082.9,1799.89,15.70%,1810.17,1541.87,N/A,268.3,17.40%,N/A,N/A,N/A,N/A,1885.69,2144.07,2218.95,2209.88,1644.88,1694.02,1567.3,1646.83,1675.21,1532.07,1486.38,1566.99,1681.11,1802.52,1916.02,1555.94,1544.18,1481.81,1338.46,1267.46,1443.7,1287.1,1344.24,1448.05,1410.22,,,
Fortuna#NetGrossWinMargin#CZ#NA#Online,Net Gross Win Margin,NetGrossWinMargin,Fortuna,CZ,NA,Online,Online Customer Model,Online Customer Model,%,8.90%,8.60%,8.10%,0,3.20%,Positive,0.09,0.09,1.80%,8.30%,8.60%,8.20%,0,-3.50%,0.01,9.20%,0,1.30%,8.90%,9.17%,8.73%,7.24%,8.50%,7.13%,7.82%,8.37%,8.76%,8.57%,9.44%,8.54%,8.62%,10.03%,7.66%,9.15%,10.01%,6.15%,8.92%,8.79%,7.99%,0.11,0.1,0.09,0.12,,,
Fortuna#WebNetGrossWinMargins#CZ#NA#Online,Web Net Gross Win Margins,WebNetGrossWinMargins,Fortuna,CZ,NA,Online,Mobile Customer Model,Mobile Customer Model,%,10.90%,10.50%,N/A,0,4.60%,Positive,0.11,0.11,6.70%,10.10%,10.70%,N/A,-0.01,-5.30%,N/A,N/A,N/A,N/A,10.94%,12.42%,10.40%,8.60%,10.50%,8.16%,9.37%,9.97%,10.92%,10.48%,11.91%,11.12%,10.45%,11.99%,9.19%,11.20%,12.87%,7.34%,11.69%,10.92%,10.31%,0.09,0.1,0.08,0.1,,,
Fortuna#MobileNetGrossWinMargins#CZ#NA#Online,Mobile Net Gross Win Margins,MobileNetGrossWinMargins,Fortuna,CZ,NA,Online,,,%,11.40%,11.50%,N/A,0,-1.30%,Positive,0.11,0.12,-7.10%,10.90%,10.90%,N/A,0,-0.50%,N/A,N/A,N/A,N/A,11.36%,10.17%,11.62%,10.08%,11.60%,9.83%,10.66%,11.46%,11.03%,11.17%,11.59%,9.77%,11.51%,13.78%,10.38%,11.95%,11.76%,8.39%,9.91%,11.17%,9.07%,0.12,0.12,0.12,0.12,,,
Fortuna#PlayerYield#CZ#NA#Online,Player Yield,PlayerYield,Fortuna,CZ,NA,Online,Online Customer Model,Online Customer Model,CZ K,1508,1296.71,1508,211.3,16.30%,Positive,1640.83,1393.69,17.70%,1338.14,1143.48,1338.14,194.66,17.00%,0,0.00%,0,0.00%,1508,1756.32,1658.17,1393.01,1170.17,1135.5,1265.76,1321.33,1517.36,1345.29,1374.1,1347.01,1296.71,1671.51,1212.86,1201.09,1322.62,889.7,1206.29,938.1,1217.19,1400.03,1328.05,1215.25,1570.23,,,
Fortuna#PlayerFrequency#CZ#NA#Online,Player Frequency,PlayerFrequency,Fortuna,CZ,NA,Online,,,Ratio,9.21,9.13,N/A,0.08,0.90%,Positive,9.02,8.99,0.40%,9.2,8.91,N/A,0.29,3.20%,N/A,N/A,N/A,N/A,9.21,9.08,8.76,8.76,8.92,9.88,10.74,9.87,10.54,10.41,10,10.26,9.13,9.32,8.5,8.8,8.96,10.18,10.31,8.92,10.82,10.03,10.09,9.59,9.61,,,
Fortuna#PlayerChurnRate#CZ#NA#Online,Player Churn Rate,PlayerChurnRate,Fortuna,CZ,NA,Online,Online Customer Model,Online Customer Model,%,-13.20%,-8.50%,N/A,-0.05,54.50%,Positive,-0.07,0.05,-233.50%,-2.10%,-0.70%,N/A,-0.01,225.30%,N/A,N/A,N/A,N/A,-13.15%,-14.72%,7.61%,37.20%,-24.94%,1.66%,-5.43%,-3.81%,-3.77%,6.21%,-0.09%,-8.61%,-8.51%,8.73%,14.97%,-4.73%,-13.27%,7.67%,9.98%,-20.78%,0.12,0.12,0.12,0.12,0.12,,,
Fortuna#OnlineChannelPlayervalues#CZ#NA#Online,Online Channel Player values,OnlineChannelPlayervalues,Fortuna,CZ,NA,Online,,,CZ K,N/A,N/A,N/A,N/A,N/A,N/A,3000,3000,0.00%,27000,27000,N/A,0,0.00%,N/A,N/A,N/A,N/A,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,,,
Fortuna#BonusCost#CZ#NA#Online,Bonus Cost,BonusCost,Fortuna,CZ,NA,Online,Online Customer Model,Online Customer Model,CZ K,-1991325.34,-1339372.12,"-21,62,001",-651953.22,48.70%,Negative,1655803.41,1245892,32.90%,20580596.35,18359575.87,-19345791.48,2221020.48,12.10%,170675.37,-7.90%,39926387.83,-206.40%,1991325.34,1354920.51,1621164.37,351353.91,5459276.71,3200385.68,2928803.57,2144272.26,1529094,1083645.01,1565334.29,1401864.57,1339372.12,663028.41,1735275.48,3084711.87,3489890.88,1857045.13,1312795.23,3360841.77,1516614.99,873808.09,1030624.52,896993.03,502782.32,,,
Fortuna#BonusCostAs%OfNetGrossWin#CZ#NA#Online,Bonus Cost As % Of Net Gross Win,BonusCostAs%OfNetGrossWin,Fortuna,CZ,NA,Online,,,%,2.43%,2.04%,2.85%,0,18.80%,Positive,0.02,0.02,12.20%,3.01%,3.11%,2.90%,0,-3.30%,0,-14.70%,0,4.00%,2.43%,1.62%,2.34%,0.57%,6.21%,4.76%,3.88%,2.90%,1.89%,1.57%,2.07%,1.90%,2.04%,0.86%,2.78%,4.18%,4.49%,4.04%,1.99%,5.67%,2.46%,0.1,0.1,0.1,0.1,,,
Fortuna#MarketingSpend#CZ#NA#Online,Marketing Spend,MarketingSpend,Fortuna,CZ,NA,Online,Online Customer Model,Online Customer Model,CZ K,-6174848.1,-6660621.91,-6605232.2,485773.81,-7.30%,Positive,4349457.28,5217433.16,-16.60%,-71350366.41,-54815408.8,-72058227.69,-16534957.61,30.20%,430384.1,-6.50%,707861.28,-1.00%,6174848.1,3664388.48,3209135.26,4344455.78,15613716.13,17103980.41,8819140.43,7958280.73,4462421.09,6982995.25,5946588.53,4184287.23,6660621.91,2812538.33,6179139.25,8278011.97,9069102.29,9550337.15,2820544.03,6428898.01,3016215.86,14943093.1,10677030.7,8332382.54,2816597.39,,,
Fortuna#LivebookStakeAmount#CZ#Livebook#,Livebook Stake Amount,LivebookStakeAmount,Fortuna,CZ,Livebook,,Average Revenue per User,Margins,CZ K,736701493,580104514.9,N/A,156596978.1,27.00%,Positive,717427134.9,606970699.6,18.20%,6334008823,5117198220,N/A,1216810603,23.80%,N/A,N/A,N/A,N/A,736701493,746731855.3,668848056.6,707330423.1,770578408,691868071.7,692959026.6,644996978.1,673994511.1,569331296.2,576218249.5,641431228.5,580104514.9,606125472.1,634682111.8,587041396.3,593301682.6,542757446.4,536892245.3,484816191.6,551477159.3,0.57,0.56,0.58,0.57,,,
Fortuna#LivebookStakeAmountShare#CZ#Livebook#,Livebook Stake Amount Share,LivebookStakeAmountShare,Fortuna,CZ,Livebook,,Average Revenue per User,Margins,%,71.70%,66.60%,N/A,0.05,7.60%,Positive,0.74,0.68,9.20%,68.40%,64.10%,N/A,0.04,6.80%,N/A,N/A,N/A,N/A,71.70%,74.10%,77.10%,75.10%,63.80%,65.00%,63.20%,64.30%,64.90%,61.80%,62.20%,64.30%,66.60%,69.30%,68.30%,62.10%,65.80%,61.50%,61.10%,60.60%,61.10%,3118834095.00%,3589504258.00%,3001693822.00%,2668582446.00%,,,
Fortuna#LivebookNetGrossWin#CZ#Livebook#,Livebook Net Gross Win,LivebookNetGrossWin,Fortuna,CZ,Livebook,,,,%,57540032.28,46045035.29,N/A,11494996.99,25.00%,Positive,57143991.52,47846931.56,19.40%,515502959.3,389394679.2,N/A,126108280.1,32.40%,N/A,N/A,N/A,N/A,57540032.28,58360250.35,55531691.94,54437159.03,62412227.48,57135741.81,63908758.78,51877674.77,54299422.83,50202932.88,50760864.55,49680039.61,46045035.29,50816615.26,46679144.13,44672907.19,48518190.45,41205643.79,39797097.46,35919516.86,35740528.79,0.67,0.67,0.67,0.67,,,
Fortuna#LivebookRevenueShare#CZ#Livebook#,Livebook Revenue Share,LivebookRevenueShare,Fortuna,CZ,Livebook,,Average Revenue per User,Margins,%,41.30%,40.90%,N/A,0,0.80%,Positive,0.44,0.4,9.90%,55.40%,43.30%,N/A,0.12,28.00%,N/A,N/A,N/A,N/A,41.30%,41.60%,49.20%,53.10%,44.80%,50.20%,53.50%,39.50%,40.40%,42.80%,37.70%,37.30%,40.90%,36.00%,43.20%,31.10%,33.60%,51.90%,30.60%,30.50%,30.00%,6.80%,7.70%,6.90%,7.30%,,,
Fortuna#LivebookMargins#CZ#Livebook#,Livebook Margins,LivebookMargins,Fortuna,CZ,Livebook,,Average Revenue per User,Margins,%,7.80%,7.90%,N/A,0,-1.60%,Positive,0.08,0.08,1.10%,8.10%,7.60%,N/A,0.01,7.00%,N/A,N/A,N/A,N/A,7.80%,7.80%,8.30%,7.70%,8.10%,8.30%,9.20%,8.00%,8.10%,8.80%,8.80%,7.70%,7.90%,8.40%,7.40%,7.60%,8.20%,7.60%,7.40%,7.40%,6.50%,34827548292.00%,37083182616.00%,31551867611.00%,27333083740.00%,,,
Fortuna#PrematchStakeAmount#CZ#Prematch#,Prematch Stake Amount,PrematchStakeAmount,Fortuna,CZ,Prematch,,Average Revenue per User,Margins,CZ K,283429686.4,283515350.2,N/A,-85663.78,0.00%,Positive,241967400.9,277506246.7,-12.80%,2853207706,2804124225,N/A,49083481.2,1.80%,N/A,N/A,N/A,N/A,283429686.4,252335643.4,190136872.7,226402382,431986475.5,363185827.6,394420918.5,352237463.2,359072436.5,344537232.2,343199044.8,348581178.7,283515350.2,261409322.5,287594067.4,351194415.3,300669438.4,332711830.9,334684049.1,309322908,343022843,0.43,0.44,0.42,0.43,,,
Fortuna#PrematchStakeAmountShare#CZ#Prematch#,Prematch Stake Amount Share,PrematchStakeAmountShare,Fortuna,CZ,Prematch,,Average Revenue per User,Margins,%,28.30%,33.40%,N/A,-0.05,-15.20%,Negative,0.26,0.32,-19.60%,30.80%,35.10%,N/A,-0.04,-12.20%,N/A,N/A,N/A,N/A,28.30%,25.90%,22.90%,24.90%,36.20%,35.00%,36.80%,35.70%,35.10%,38.20%,37.80%,35.70%,33.40%,30.70%,31.70%,37.90%,34.20%,38.50%,38.90%,39.40%,38.90%,9091929256.00%,7081144670.00%,5877590616.00%,7609013725.00%,,,
Fortuna#PrematchNetGrossWin#CZ#Prematch#,Prematch Net Gross Win,PrematchNetGrossWin,Fortuna,CZ,Prematch,,,,CZ K,81914540.19,66414007.11,N/A,15500533.08,23.30%,Positive,73729934.51,72643209.12,1.50%,617853432.4,706442491.6,N/A,-88589059.25,-12.50%,N/A,N/A,N/A,N/A,81914540.19,81924189.86,57351073.47,48091990.54,76973851.33,56665401.87,55497708.44,79343632.42,80091044.27,67099938.96,84027031.28,83416811.8,66414007.11,90206298.62,61309321.63,99143305.56,95913834.14,38123970.18,90246698.61,81813680.85,83271374.94,0.32,0.32,0.32,0.32,,,
Fortuna#PrematchRevenueShare#CZ#Prematch#,Prematch Revenue Share,PrematchRevenueShare,Fortuna,CZ,Prematch,,Average Revenue per User,Margins,%,58.70%,59.10%,N/A,0,-0.50%,Positive,0.56,0.6,-6.60%,66.40%,78.50%,N/A,-0.12,-15.50%,N/A,N/A,N/A,N/A,58.70%,58.40%,50.80%,46.90%,55.20%,49.80%,46.50%,60.50%,59.60%,57.20%,62.30%,62.70%,59.10%,64.00%,56.80%,68.90%,66.40%,48.10%,69.40%,69.50%,70.00%,26.10%,19.10%,18.60%,27.80%,,,
Fortuna#PrematchMargins#CZ#Prematch#,Prematch Margins,PrematchMargins,Fortuna,CZ,Prematch,,Average Revenue per User,Margins,%,28.90%,23.40%,N/A,0.05,23.40%,Positive,0.31,0.26,15.50%,21.70%,25.20%,N/A,-0.04,-14.00%,N/A,N/A,N/A,N/A,28.90%,32.50%,30.20%,21.20%,17.80%,15.60%,14.10%,22.50%,22.30%,19.50%,24.50%,23.90%,23.40%,34.50%,21.30%,28.20%,31.90%,11.50%,27.00%,26.40%,24.30%,46648518940.00%,47690266145.00%,43515804047.00%,36518561658.00%,,,
Fortuna#SinglesStakeAmount#CZ#NA#,Singles Stake Amount,SinglesStakeAmount,Fortuna,CZ,NA,,Average Revenue per User,Margins,CZ K,660575369.3,553104337.1,N/A,107471032.2,19.40%,Positive,647752394.4,588858879.8,10.00%,5972369177,5093867506,N/A,878501671.3,17.20%,N/A,N/A,N/A,N/A,660575369.3,680257795.3,602424018.7,664094463.7,769563194.9,660104854.2,672537521.1,615310428.7,647501531.6,545021390.2,555305483.5,615396180.4,553104337.1,567684712.8,645787589.3,619908622.8,584251047.2,548503407.5,535044486.3,491274380.1,548308923,0.58,0.57,0.58,0.57,,,
Fortuna#SinglesStakeAmountShare#CZ#NA#,Singles Stake Amount Share,SinglesStakeAmountShare,Fortuna,CZ,NA,,Average Revenue per User,Margins,%,64.30%,53.80%,N/A,0.1,19.40%,Positive,0.63,0.57,10.00%,64.50%,63.80%,N/A,0.01,1.20%,N/A,N/A,N/A,N/A,64.30%,66.20%,58.60%,64.60%,74.90%,64.20%,65.40%,59.90%,63.00%,53.00%,54.00%,59.90%,53.80%,55.20%,62.80%,60.30%,56.90%,53.40%,52.10%,47.80%,53.40%,2683754860.00%,3336549679.00%,2297646355.00%,2357779511.00%,,,
Fortuna#SinglesNetGrossWin#CZ#NA#,Singles Net Gross Win,SinglesNetGrossWin,Fortuna,CZ,NA,,Average Revenue per User,Margins,CZ K,41126049.36,35664997.62,N/A,5461051.74,15.30%,Positive,42301878.97,40463228.07,4.50%,395927817.1,346811150.8,N/A,49116666.26,14.20%,N/A,N/A,N/A,N/A,41126049.36,43403339.38,42376248.16,41605152.37,48740524.27,45685052.9,50552093.7,37651862.67,44787494.29,38999341.74,40447841.51,37931708.15,35664997.62,40633313.3,45091373.3,43292635.75,47872263.42,33865011.88,35595338.8,34517658.47,30278558.3,0.06,0.07,0.05,0.06,,,
Fortuna#SinglesMargins#CZ#NA#,Singles Margins,SinglesMargins,Fortuna,CZ,NA,,Average Revenue per User,Margins,%,6.20%,6.40%,N/A,0,-3.40%,Positive,0.07,0.07,-4.60%,6.60%,6.80%,N/A,0,-2.60%,N/A,N/A,N/A,N/A,6.20%,6.40%,7.00%,6.30%,6.30%,6.90%,7.50%,6.10%,6.90%,7.20%,7.30%,6.20%,6.40%,7.20%,7.00%,7.00%,8.20%,6.20%,6.70%,7.00%,5.50%,34065158505.00%,35881000502.00%,31629064649.00%,27457407021.00%,,,
Fortuna#CombiStakeAmount#CZ#NA#,Combi Stake Amount,CombiStakeAmount,Fortuna,CZ,NA,,Average Revenue per User,Margins,CZ K,359555810.1,310515528,N/A,49040282.09,15.80%,Positive,311642141.4,295618066.5,5.40%,3214847352,2827454939,N/A,387392412.9,13.70%,N/A,N/A,N/A,N/A,359555810.1,318809703.4,256560910.6,269638341.3,433001688.6,394949045.1,414842424,381924012.6,385565416.1,368847138.2,364111810.7,374616226.8,310515528,299850081.7,276488589.8,318327188.8,309720073.8,326965869.8,336531808.1,302864719.5,346191079.3,0.42,0.43,0.42,0.43,,,
Fortuna#ComboStakeAmountShare#CZ#NA#,Combo Stake Amount Share,ComboStakeAmountShare,Fortuna,CZ,NA,,Average Revenue per User,Margins,%,35.70%,46.20%,N/A,-0.1,-22.70%,Positive,0.37,0.43,-13.40%,34.74%,35.40%,N/A,-0.01,-1.90%,N/A,N/A,N/A,N/A,35.70%,33.80%,41.40%,35.40%,25.10%,35.80%,34.60%,40.10%,37.00%,47.00%,46.00%,40.10%,46.20%,44.80%,37.20%,39.70%,43.10%,46.60%,47.90%,52.20%,46.60%,9527008491.00%,7334099249.00%,6581638083.00%,7919816660.00%,,,
Fortuna#CombiNetGrossWin#CZ#NA#,Combi Net Gross Win,CombiNetGrossWin,Fortuna,CZ,NA,,Average Revenue per User,Margins,CZ K,98328523.11,76794044.78,N/A,21534478.33,28.00%,Positive,88572047.06,80026912.61,10.70%,737428574.6,749026020,N/A,-11597445.46,-1.50%,N/A,N/A,N/A,N/A,98328523.11,96881100.83,70506517.25,60923997.2,90645554.54,68116090.78,68854373.52,93569444.52,89602972.81,78303530.1,94340054.32,95165143.26,76794044.78,100389600.6,62897092.46,100523577,96559761.17,45464602.09,94448457.27,83215539.24,88733345.43,0.28,0.2,0.21,0.29,,,
Fortuna#ComboMargins#CZ#NA#,Combo Margins,ComboMargins,Fortuna,CZ,NA,,Customer Model,Customer Model,%,27.30%,24.70%,N/A,0.03,10.60%,Positive,0.28,0.27,5.30%,22.90%,26.50%,N/A,-0.04,-13.40%,N/A,N/A,N/A,N/A,27.35%,30.39%,27.48%,22.59%,20.93%,17.25%,16.60%,24.50%,23.24%,21.23%,25.91%,25.40%,24.73%,33.48%,22.75%,31.58%,31.18%,13.90%,28.07%,27.48%,25.63%,2474772014.00%,2728325297.00%,2451583807.00%,2273412542.00%,,,
Fortuna#StakeAmount#PL#NA#Overall,Stake Amount,StakeAmount,Fortuna,PL,NA,Overall,,,PLN,33064675.34,25741923.28,35520000,7322752.06,28.40%,Positive,29638288.68,24661085.84,20.20%,282250771,229481882.7,289892328.1,52768888.28,23.00%,-2455324.66,-6.90%,-7641557.1,-2.60%,33064675.34,29840608.56,26009582.14,24909883.1,34297374.63,34427719.13,35629304.25,31505759.21,32565864.65,33207155.17,31220632.42,28433454.26,25741923.28,24681648.13,23559686.12,25949462.99,23963851.46,26782132.72,28056571.84,25318979.47,25427626.72,8193256.85,5903998.61,4740076.89,7161132.62,,,
Fortuna#GrossWin#PL#NA#Overall,Gross Win,GrossWin,Fortuna,PL,NA,Overall,,,PLN,14710195.06,10620597.23,13669000,4089597.83,38.50%,Positive,12920528.7,10482766.37,23.30%,104491752,92930191.47,104921135.8,11561560.48,12.40%,1041195.06,7.60%,-429383.8,-0.40%,14710195.06,13180596.85,10870794.18,8448415.75,12583104.57,8982009.79,11082846.04,12535782.41,12098007.3,10732285.86,12090606.51,11321511.05,10620597.23,12086346.65,8741355.24,11681225.55,10496190.12,7064987.5,12397512.38,10415573.76,9426403.04,38435,38007,35030,32476,,,
Fortuna#BettingTax#PL#NA#Overall,Betting Tax,BettingTax,Fortuna,PL,NA,Overall,,,PLN,-4525369.82,-3519743.15,"-48,43,600",-1005626.67,28.60%,Negative,-4049230.49,-3354699.02,20.70%,-38475106.85,-31258594.2,-39504781.89,-7216512.65,23.10%,318230.18,-6.60%,1029675.04,-2.60%,-4525369.82,-4064991.115,-3557330.549,-3390136.24,-4648319.31,-4719377.93,-4854863.67,-4286584.73,-4428133.49,-4574290.27,-4210502.26,-3923567,-3519743.15,-3358905.48,-3185448.42,-3545778.13,-3257944.93,-3669252.41,-3806457.55,-3460174.01,-3454890.12,419188,437135,392051,365889,,,
Fortuna#NetGrossWin#PL#NA#Overall,Net Gross Win,NetGrossWin,Fortuna,PL,NA,Overall,Customer Model,Customer Model,PLN,10184825.24,7100854.08,8825400,3083971.16,43.40%,Positive,8871298.2,7128067.36,24.50%,66016645.1,61671597.27,65416353.86,4345047.83,7.00%,1359425.24,15.40%,600291.24,0.90%,10184825.24,9115605.74,7313463.63,5058279.51,7934785.26,4262631.86,6227982.37,8249197.68,7669873.81,6157995.59,7880104.25,7397944.05,7100854.08,8727441.17,5555906.82,8135447.42,7238245.19,3395735.09,8591054.83,6955399.75,5971512.92,59.04,62.41,62.53,62.13,,,
Fortuna#NetGamingRevenue#PL#NA#Overall,Net Gaming Revenue,NetGamingRevenue,Fortuna,PL,NA,Overall,,,PLN,9957163.05,6908631.88,8629803.38,3048531.17,44.10%,Positive,8641274.84,6954007.5,24.30%,64057418.98,60267329.89,63664727.4,3790089.09,6.30%,1327359.67,15.40%,392691.58,0.60%,9957163.05,8891212.73,7075448.74,4870656.8,7708574.85,3992602.38,5999619.94,8046652.07,7515488.42,5767056.91,7631016.97,7218786.37,6908631.88,8612842.14,5340548.49,7975735.52,7111766.01,3270781.34,8386524.69,6815065,5845434.82,203.71,149.64,130.75,214.59,,,
Fortuna#NetContribution#PL#NA#Overall,Net Contribution,NetContribution,Fortuna,PL,NA,Overall,,,PLN,9129508.44,6202899.09,7905103.38,2926609.35,47.20%,Positive,7907803.9,6305183.48,25.40%,57509556.91,54751835.15,57136358.63,2757721.76,5.00%,1224405.06,15.50%,373198.28,0.70%,9129508.44,8201606.94,6392296.31,4068284.4,6966416.47,3254352.69,5279276.94,7371773.35,6846041.37,4937904.77,6986680.8,6608908.24,6202899.09,8014370.76,4698280.58,7358437.63,6455964.62,2719983.44,7772762.45,6216314.77,5312821.81,10.42,11.08,10.81,10.96,,,
Fortuna#EBITDA#PL#NA#Overall,EBITDA,EBITDA,Fortuna,PL,NA,Overall,,,PLN,3015903.96,844900.29,1696181.54,2171003.67,257.00%,Positive,2271853.7,1416212.39,60.40%,5531535.89,9574468.31,4729074.95,-4042932.42,-42.20%,1319722.42,77.80%,802460.94,17.00%,3015903.96,2702200.99,1097456.16,-2096334.53,1368793.12,-2341369.9,-1139570.29,1723388.31,1201068.07,-1935674.83,3600798.61,1339662.37,844900.29,3240456.53,163280.34,2033035.09,1591811.31,-2316804.58,2169689.18,1268094.38,580005.77,149660.59,165440.8,246065.54,100512,,,
Fortuna#UniqueActivePlayers#PL#NA#Overall,Unique Active Players,UniqueActivePlayers,Fortuna,PL,NA,Overall,,,#,46534,40972,45278.17,5562,13.60%,Positive,42509.67,39169.67,8.50%,395404,370711,388203.74,24693,6.70%,1255.83,2.80%,7200.26,1.90%,46534,43128,37867,37824,44523,47322,48086,46687,43433,44664,45845,43950,40972,38478,38059,44152,39113,42348,44173,43458,39958,3.72,4.19,6.79,3.01,,,
Fortuna#Database#PL#NA#Overall,Database,Database,Fortuna,PL,NA,Overall,,,#,44699,39821,43408.17,4878,12.20%,Positive,41175.67,38128.33,8.00%,380369,357674,374633.74,22695,6.30%,1290.83,3.00%,5735.26,1.50%,44699,41759,37069,36945,42922,45105,45838,44430,41602,42143,43066,42223,39821,37467,37097,41826,38174,40834,42580,41571,38304,0.23,0.38,0.23,0.35,,,
Fortuna#FirstTimeDepositors#PL#NA#Overall,First Time Depositors,FirstTimeDepositors,Fortuna,PL,NA,Overall,,,#,1835,1151,1870,684,59.40%,Positive,1334,1041.33,28.10%,15035,13037,13570,1998,15.30%,-35,-1.90%,1465,10.80%,1835,1369,798,879,1601,2217,2248,2257,1831,2521,2779,1727,1151,1011,962,2326,939,1514,1593,1887,1654,618654.8,541032.58,574201.8,605593.36,,,
Fortuna#ActivePlayerDays#PL#NA#Overall,Active Player Days,ActivePlayerDays,Fortuna,PL,NA,Overall,,,#,479159,421677,N/A,57482,13.60%,Positive,434946.33,396429.33,9.70%,4157906,3806422,N/A,351484,9.20%,N/A,N/A,N/A,N/A,479159,443584,382096,359842,483244,514565,536809,481670,476937,482902,473784,467559,421677,407527,360084,407437,400829,443778,479986,447220,437884,0.01,0.01,0.01,0.01,,,
Fortuna#NetGrossWinPerUniqueActivePlayer#PL#NA#Overall,Net Gross Win Per Unique Active Player,NetGrossWinPerUniqueActivePlayer,Fortuna,PL,NA,Overall,Customer Model,Customer Model,PLN,218.87,173.31,194.92,45.56,26.30%,Positive,207.79,182.04,14.10%,166.96,166.36,168.51,0.6,0.40%,23.95,12.30%,-1.55,-0.90%,218.87,211.36,193.14,133.73,178.22,90.08,129.52,176.69,176.59,137.87,171.89,168.33,173.31,226.82,145.98,184.26,185.06,80.19,194.49,160.05,149.44,0,0,0,0,,,
Fortuna#StakeamountPerActivePlayerDays#PL#NA#Overall,Stake amount Per Active Player Days,StakeamountPerActivePlayerDays,Fortuna,PL,NA,Overall,,,PLN,69.01,61.05,N/A,7.96,13.00%,Positive,68.12,62.35,9.30%,67.88,60.29,N/A,7.59,12.60%,N/A,N/A,N/A,N/A,69.01,67.27,68.07,69.22,70.97,66.91,66.37,65.41,68.28,68.77,65.9,60.81,61.05,60.56,65.43,63.69,59.79,60.35,58.45,56.61,58.07,0,0,0,0,,,
Fortuna#NetGrossWinMargin#PL#NA#Overall,Net Gross Win Margin,NetGrossWinMargin,Fortuna,PL,NA,Overall,Customer Model,Customer Model,%,30.80%,27.60%,24.80%,0.03,11.70%,Positive,0.3,0.29,3.40%,23.40%,26.90%,22.60%,-0.03,-13.00%,0.06,24.00%,0.01,3.60%,30.80%,30.55%,28.12%,20.31%,23.14%,12.38%,17.48%,26.18%,23.55%,18.54%,25.24%,26.02%,27.58%,35.36%,23.58%,31.35%,30.20%,12.68%,30.62%,27.47%,23.48%,0,0,0,0,,,
Fortuna#PlayerYield#PL#NA#Overall,Player Yield,PlayerYield,Fortuna,PL,NA,Overall,,,PLN,213.98,168.62,199.23,45.36,26.90%,Positive,202.33,177.59,13.90%,171.91,170.15,173.02,1.77,1.00%,14.74,7.40%,-1.11,-0.60%,213.98,206.16,186.85,128.77,173.14,84.37,124.77,172.35,173.04,129.12,166.45,164.25,168.62,223.84,140.32,180.64,181.83,77.24,189.86,156.82,146.29,-4589435.92,-4624817.1,-2522417.67,-5146004.64,,,
